Período: 20262;Emitido em: 22/07/2026 08:33 h; Data da última atualização: 22/07/2026 07:50h;
Critérios da busca: 
Não foi especificado nenhum critério de busca
Disciplina;Nome da disciplina;Professor;Créd;Turma;Destino;Vag;Turno;Horário/Sala;Horas a Distância;SHF;Horas de extensão;Pré-Req;Depto;
ADM1014; MENTORIA EM MARKETING ;KARINE DE ALMEIDA KARAM;1;2GB;ADM;26;I;GAVEA;0;1;0;NÃO;ADM;
ADM1014; MENTORIA EM MARKETING ;KARINE DE ALMEIDA KARAM;1;2GC;ADM;28;I;GAVEA;0;1;0;NÃO;ADM;
ADM1019; INTRODUCAO A FINANCAS ;RICARDO NOLLA RUIZ;4;2WA;CCI;0;I;TER 13-15   QUI 13-15   ;0;0;0;NÃO;INF;
ADM1019; INTRODUCAO A FINANCAS ;RICARDO NOLLA RUIZ;4;2WA;CCP;14;I;TER 13-15   QUI 13-15   ;0;0;0;NÃO;INF;
ADM1019; INTRODUCAO A FINANCAS ;RICARDO NOLLA RUIZ;4;2WA;QQC;1;I;TER 13-15   QUI 13-15   ;0;0;0;NÃO;INF;
ADM1030; FUNDAMENTOS QUANT NEGÓCIOS I ;ELIANA GIAMBIAGI;4;2GA;QQC;0;I;TER 09-11   QUI 09-11   ;0;0;0;NÃO;ADM;
ADM1030; FUNDAMENTOS QUANT NEGÓCIOS I ;ELIANA GIAMBIAGI;4;2GB;QQC;7;I;TER 11-13   QUI 11-13   ;0;0;0;NÃO;ADM;
ADM1030; FUNDAMENTOS QUANT NEGÓCIOS I ;ELIANA GIAMBIAGI;4;2GC;QQC;23;I;TER 19-21   QUI 19-21   ;0;0;0;NÃO;ADM;
ADM1031; FUNDAMENTOS QUANT NEGÓCIOS II ;ANNA MARIA SOTERO DA SILVA NETO;4;2GA;ADM;6;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1031; FUNDAMENTOS QUANT NEGÓCIOS II ;GLACIR DE OLIVEIRA GALIMBERTI ZAPATA;4;2GB;ADM;22;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1031; FUNDAMENTOS QUANT NEGÓCIOS II ;ANNA MARIA SOTERO DA SILVA NETO;4;2GC;ADM;26;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1041; PLANILHAS PARA NEGÓCIOS ;ANNA MARIA SOTERO DA SILVA NETO;4;2GA;ADM;6;I;SEG 17-19   QUA 17-19   ;0;0;0;NÃO;ADM;
ADM1041; PLANILHAS PARA NEGÓCIOS ;ANNA MARIA SOTERO DA SILVA NETO;4;2GA;QQC;13;I;SEG 17-19   QUA 17-19   ;0;0;0;NÃO;ADM;
ADM1042; FERRAMENTAS DIGITAIS PARA ADM ;EVANDRO DA SILVEIRA GOULART;4;2GA;ADM;13;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1042; FERRAMENTAS DIGITAIS PARA ADM ;EVANDRO DA SILVEIRA GOULART;4;2GA;QQC;10;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1045; ANALYTICS PARA NEGÓCIOS I ;EVANDRO DA SILVEIRA GOULART;4;2GC;ADM;8;I;TER 21-23   QUI 21-23   ;0;0;0;NÃO;ADM;
ADM1045; ANALYTICS PARA NEGÓCIOS I ;EVANDRO DA SILVEIRA GOULART;4;2GA;QQC;0;I;TER 07-09   QUI 07-09   ;0;0;0;NÃO;ADM;
ADM1045; ANALYTICS PARA NEGÓCIOS I ;EVANDRO DA SILVEIRA GOULART;4;2GB;QQC;0;I;SEG 11-13   QUA 11-13   ;0;0;0;NÃO;ADM;
ADM1045; ANALYTICS PARA NEGÓCIOS I ;EVANDRO DA SILVEIRA GOULART;4;2GC;QQC;11;I;TER 21-23   QUI 21-23   ;0;0;0;NÃO;ADM;
ADM1102; INTEGRADORA PE I ;RUTH ESPINOLA SORIANO DE MELLO;4;2GA;ADM;30;I;TER 17-19   QUI 17-19   ;0;0;60; SIM ;ADM;
ADM1112; INTEGRADORA PA2 (ESTAG SUPERV) ;MILA LIMA DESOUZART;4;2GA;ADM;30;I;TER 09-11   QUI 09-11   ;0;1;0; SIM ;ADM;
ADM1112; INTEGRADORA PA2 (ESTAG SUPERV) ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GB;ADM;29;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1112; INTEGRADORA PA2 (ESTAG SUPERV) ;EDMUNDO EUTROPIO COELHO DE SOUZA;4;2GC;ADM;30;I;SEG 19-21   QUA 19-21   ;0;1;0; SIM ;ADM;
ADM1113; INTEGRADORA PA3 (ESTAG SUPERV) ;LYGIA ALESSANDRA MAGALHAES MAGACHO;4;2GA;ADM;29;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1113; INTEGRADORA PA3 (ESTAG SUPERV) ;MILA LIMA DESOUZART;4;2GB;ADM;26;I;TER 19-21   QUI 19-21   ;0;1;0; SIM ;ADM;
ADM1113; INTEGRADORA PA3 (ESTAG SUPERV) ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GC;ADM;28;I;TER 21-23   QUI 21-23   ;0;1;0; SIM ;ADM;
ADM1120; PROJETO GESTÃO INTEGRADO I ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GA;ADM;22;I;TER 07-09   QUI 07-09   ;0;0;60; SIM ;ADM;
ADM1120; PROJETO GESTÃO INTEGRADO I ;MILA LIMA DESOUZART;4;2GB;ADM;24;I;TER 11-13   QUI 11-13   ;0;0;60; SIM ;ADM;
ADM1120; PROJETO GESTÃO INTEGRADO I ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;ADM;25;I;TER 19-21   QUI 19-21   ;0;0;60; SIM ;ADM;
ADM1122; INTEGRADORA PE II (EST SUPERV) ;FRANCIS BERENGER MACHADO;4;2GA;ADM;13;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1122; INTEGRADORA PE II (EST SUPERV) ;MARIA ISABEL PEIXOTO GUIMARAES;4;2GB;ADM;9;I;TER 19-21   QUI 19-21   ;0;1;0; SIM ;ADM;
ADM1122; INTEGRADORA PE II (EST SUPERV) ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;ADM;14;I;TER 21-23   QUI 21-23   ;0;1;0; SIM ;ADM;
ADM1123; PROJ DE CONSULTORIA EM GESTÃO ;JULIA BLOOMFIELD GAMA ZARDO;4;2GA;ADM;12;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1123; PROJ DE CONSULTORIA EM GESTÃO ;JULIA BLOOMFIELD GAMA ZARDO;4;2GA;QQC;12;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1150; PROJ NOVOS NEGÓC I ;FRANCIS BERENGER MACHADO;6;2GA;ADM;17;I;TER 09-11   QUI 09-11   ;0;2;60; SIM ;ADM;
ADM1150; PROJ NOVOS NEGÓC I ;LYGIA ALESSANDRA MAGALHAES MAGACHO;6;2GB;ADM;29;I;TER 11-13   QUI 11-13   ;0;2;60; SIM ;ADM;
ADM1150; PROJ NOVOS NEGÓC I ;LYGIA ALESSANDRA MAGALHAES MAGACHO;6;2GC;ADM;27;I;TER 19-21   QUI 19-21   ;0;2;60; SIM ;ADM;
ADM1201; INTEGRADORA PE II ;FRANCIS BERENGER MACHADO;4;2GA;ADM;12;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1201; INTEGRADORA PE II ;MARIA ISABEL PEIXOTO GUIMARAES;4;2GB;ADM;5;I;TER 19-21   QUI 19-21   ;0;0;0; SIM ;ADM;
ADM1201; INTEGRADORA PE II ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;ADM;9;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1241; RACIOCÍNIO LÓGICO ;ELIANA GIAMBIAGI;2;2GC;ADM;9;I;TER 21-23   ;0;0;0;NÃO;ADM;
ADM1241; RACIOCÍNIO LÓGICO ;ELIANA GIAMBIAGI;2;2GA;QQC;12;I;TER 07-09   ;0;0;0;NÃO;ADM;
ADM1241; RACIOCÍNIO LÓGICO ;ANNA MARIA SOTERO DA SILVA NETO;2;2GB;QQC;8;I;SEG 09-11   ;0;0;0;NÃO;ADM;
ADM1241; RACIOCÍNIO LÓGICO ;ELIANA GIAMBIAGI;2;2GC;QQC;15;I;TER 21-23   ;0;0;0;NÃO;ADM;
ADM1243; RACIOCINIO LOGICO ;ANNA MARIA SOTERO DA SILVA NETO;2;2GA;ADM;16;I;QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1243; RACIOCINIO LOGICO ;ANNA MARIA SOTERO DA SILVA NETO;2;2GA;QQC;14;I;QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;LEA MARA BENATTI ASSAID;4;2GA;ADM;22;I;TER 11-13   QUI 11-13   ;0;0;0; SIM ;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;LEA MARA BENATTI ASSAID;4;2GB;ADM;24;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;VERANISE JACUBOWSKI CORREIA DUBEUX;4;2GC;ADM;15;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1265; ANÁLISE DESCRITIVA P/ NEGÓCIOS ;VERANISE JACUBOWSKI CORREIA DUBEUX;4;2GC;QQC;9;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1266; ANÁLISE INFERENCIAL P NEGÓCIOS ;LEA MARA BENATTI ASSAID;4;2GA;ADM;24;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1266; ANÁLISE INFERENCIAL P NEGÓCIOS ;GLACIR DE OLIVEIRA GALIMBERTI ZAPATA;4;2GB;ADM;24;I;TER 07-09   QUI 07-09   ;0;0;0; SIM ;ADM;
ADM1266; ANÁLISE INFERENCIAL P NEGÓCIOS ;VERANISE JACUBOWSKI CORREIA DUBEUX;4;2GC;ADM;25;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1295; PESQUISA OPERACIONAL EM ADM ;LEA MARA BENATTI ASSAID;4;2GA;ADM;24;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1295; PESQUISA OPERACIONAL EM ADM ;EVANDRO DA SILVEIRA GOULART;4;2GB;ADM;15;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1312; FINANCAS INTERNACIONAIS ;MARCELO CABUS KLOTZLE;4;2GA;ADM;8;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1312; FINANCAS INTERNACIONAIS ;MARCELO CABUS KLOTZLE;4;2GA;CCI;0;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1312; FINANCAS INTERNACIONAIS ;MARCELO CABUS KLOTZLE;4;2GA;QQC;2;I;SEG 17-19   QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1315; DERIVATIVOS FINANCEIROS ;NAIELLY LOPES MARQUES;4;2GA;ADM;8;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1315; DERIVATIVOS FINANCEIROS ;NAIELLY LOPES MARQUES;4;2GA;CCI;0;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1315; DERIVATIVOS FINANCEIROS ;NAIELLY LOPES MARQUES;4;2GA;QQC;8;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1324; FINANCAS PESSOAIS ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;2;2GA;ADM;11;I;QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1324; FINANCAS PESSOAIS ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;2;2GA;QQC;8;I;QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;SHEILA DE BARCELLOS MAIA;4;2GA;ADM;0;I;SEG 09-11   QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GB;ADM;6;I;TER 07-09   QUI 07-09   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GC;ADM;15;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GB;QQC;4;I;TER 07-09   QUI 07-09   ;0;0;0;NÃO;ADM;
ADM1325; CONTABILIDADE EMPRESARIAL ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GC;QQC;8;I;TER 17-19   QUI 17-19   ;0;0;0;NÃO;ADM;
ADM1326; ANÁLISE FINANCEIRA DE NEGÓCIOS ;SHEILA DE BARCELLOS MAIA;4;2GA;ADM;30;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1326; ANÁLISE FINANCEIRA DE NEGÓCIOS ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GB;ADM;28;I;TER 11-13   QUI 11-13   ;0;0;0; SIM ;ADM;
ADM1326; ANÁLISE FINANCEIRA DE NEGÓCIOS ;HORISTA A CONTRATAR;4;2GC;ADM;30;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1330; GESTÃO FINANCEIRA ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GA;ADM;29;I;TER 09-11   QUI 09-11   ;0;0;0;NÃO;ADM;
ADM1330; GESTÃO FINANCEIRA ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GB;ADM;30;I;SEG 09-11   QUA 09-11   ;0;0;0;NÃO;ADM;
ADM1330; GESTÃO FINANCEIRA ;HORISTA A CONTRATAR;4;2GC;ADM;23;I;TER 19-21   QUI 19-21   ;0;0;0;NÃO;ADM;
ADM1330; GESTÃO FINANCEIRA ;HORISTA A CONTRATAR;4;2GC;QQC;8;I;TER 19-21   QUI 19-21   ;0;0;0;NÃO;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;GRAZIELA XAVIER FORTUNATO;4;2GA;ADM;15;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;HORISTA A CONTRATAR;4;2GB;ADM;15;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;GRAZIELA XAVIER FORTUNATO;4;2GA;CCI;1;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;HORISTA A CONTRATAR;4;2GB;CCI;2;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;GRAZIELA XAVIER FORTUNATO;4;2GA;QQC;15;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;HORISTA A CONTRATAR;4;2GB;QQC;12;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1346; AN DEMONSTRATIVOS FINANCEIROS ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;2;2GA;ADM;17;I;SEG 07-09   ;0;0;0; SIM ;ADM;
ADM1346; AN DEMONSTRATIVOS FINANCEIROS ;HORISTA A CONTRATAR;2;2GB;ADM;19;I;QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1346; AN DEMONSTRATIVOS FINANCEIROS ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;2;2GA;QQC;14;I;SEG 07-09   ;0;0;0; SIM ;ADM;
ADM1346; AN DEMONSTRATIVOS FINANCEIROS ;HORISTA A CONTRATAR;2;2GB;QQC;15;I;QUA 17-19   ;0;0;0; SIM ;ADM;
ADM1348; ADMINISTRACAO FINANCEIRA ;GRAZIELA XAVIER FORTUNATO;4;2GA;ADM;34;I;TER 11-13   QUI 11-13   ;0;0;0; SIM ;ADM;
ADM1348; ADMINISTRACAO FINANCEIRA ;ANDRE CABUS KLOTZLE;4;2GB;ADM;34;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1370; FINANCAS PARA NOVOS NEGOCIOS ;GRAZIELA XAVIER FORTUNATO;2;2GA;ADM;22;I;GAVEA;0;2;0; SIM ;ADM;
ADM1370; FINANCAS PARA NOVOS NEGOCIOS ;GRAZIELA XAVIER FORTUNATO;2;2GB;ADM;13;I;GAVEA;0;2;0; SIM ;ADM;
ADM1370; FINANCAS PARA NOVOS NEGOCIOS ;GRAZIELA XAVIER FORTUNATO;2;2GC;ADM;23;I;GAVEA;0;2;0; SIM ;ADM;
ADM1413; GESTAO DE MARCAS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GA;ADM;17;I;TER 07-09   ;0;2;0; SIM ;ADM;
ADM1416; MARKETING EM HOSPITALIDADE ;ALESSANDRA BAIOCCHI ANTUNES CORREA;4;2GA;ADM;15;I;SEG 17-19   ;0;2;0; SIM ;ADM;
ADM1422; MARKETING EM ESPORTES ;DANIEL KAMLOT;4;2GA;ADM;14;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1422; MARKETING EM ESPORTES ;DANIEL KAMLOT;4;2GA;QQC;3;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1440; PRATICA PESQUISA QUANTITATIVA ;DANIEL KAMLOT;2;2GA;ADM;30;I;GAVEA;0;2;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GA;ADM;30;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GB;ADM;17;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;DANIEL KAMLOT;4;2GC;ADM;19;I;SEG 21-23   QUA 21-23   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GB;CCI;0;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GA;QQC;0;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GB;QQC;0;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;DANIEL KAMLOT;4;2GC;QQC;10;I;SEG 21-23   QUA 21-23   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GA;ADM;20;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GB;ADM;14;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LUIZ ROIZMAN;4;2GC;ADM;20;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GB;CCI;0;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GA;QQC;5;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GB;QQC;9;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LUIZ ROIZMAN;4;2GC;QQC;10;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1447; PRATICA PESQUISA QUALITATIVA ;DANIEL KAMLOT;2;2GA;ADM;30;I;GAVEA;0;2;0; SIM ;ADM;
ADM1457; GESTAO DE MARKETING I ;MARCUS WILCOX HEMAIS;4;2GA;ADM;0;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1457; GESTAO DE MARKETING I ;MARCO AURELIO DE SA RIBEIRO;4;2GB;ADM;1;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1457; GESTAO DE MARKETING I ;KARINE DE ALMEIDA KARAM;4;2GC;ADM;8;I;SEG 21-23   QUA 21-23   ;0;0;0; SIM ;ADM;
